chart_date,chart_type,rank,title,artist,url
2000-02-05,rock,15,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,16,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,17,Falling Away From Me,KoRn,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,18,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,19,Run To The Water,Live,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,20,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,21,Weapon And The Wound,Days Of The New,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,22,Wait And Bleed,Slipknot,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,23,Ex-Girlfriend,No Doubt,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,24,Go Let It Out,Oasis,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,25,Stacked Actors,Foo Fighters,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,26,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,27,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,28,It Feels So Good,Sonique,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,29,Flowing,311,https://tunecaster.com/charts/00/rock0006.html
2000-02-05,rock,30,Take A Picture,Filter,https://tunecaster.com/charts/00/rock0006.html
2000-02-12,rock,1,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,2,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,3,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,4,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,5,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,6,What If,Creed,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,7,Everything You Want,Vertical Horizon,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,8,Ex-Girlfriend,No Doubt,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,9,Miserable,Lit,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,10,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,11,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,12,Everlasting Gaze,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,13,Crushed,Limp Bizkit,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,14,Maybe Someday,The Cure,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,15,Go Let It Out,Oasis,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,16,Run To The Water,Live,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,17,Stop The Rock,Apollo Four Forty,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,18,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,19,Weapon And The Wound,Days Of The New,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,20,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,21,Stacked Actors,Foo Fighters,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,22,Flowing,311,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,23,Wait And Bleed,Slipknot,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,24,Natural Blues,Moby,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,25,Nobody's Real,Powerman 5000,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,26,Sometimes I Don't Mind,The Suicide Machines,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,27,Into The Void,Nine Inch Nails,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,28,Make Me Bad,KoRn,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,29,Falling Away From Me,KoRn,https://tunecaster.com/charts/00/rock0007.html
2000-02-12,rock,30,Brand New Day,Sting,https://tunecaster.com/charts/00/rock0007.html
2000-02-19,rock,1,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,2,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,3,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,4,Ex-Girlfriend,No Doubt,https://tunecaster.com/charts/00/rock0008.html
2000-02-19,rock,5,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0008.html
